epoch,accuracy,loss,val_accuracy,val_loss
1,0.32230374217033386,1.7214138507843018,0.6398136019706726,1.2147306203842163
2,0.39657849073410034,1.5567693710327148,0.6651132106781006,1.2264260053634644
3,0.42528384923934937,1.487552523612976,0.6631158590316772,1.2066104412078857
4,0.44525280594825745,1.441057562828064,0.6637816429138184,1.202965259552002
5,0.4573681056499481,1.4049137830734253,0.6557922959327698,1.2041215896606445
6,0.4675961136817932,1.380764126777649,0.6671105027198792,1.171045184135437
7,0.4756323993206024,1.3556814193725586,0.6584553718566895,1.2156784534454346
8,0.4842470586299896,1.3433970212936401,0.6611185073852539,1.1908248662948608
9,0.490730881690979,1.3213813304901123,0.651131808757782,1.1756649017333984
10,0.49496209621429443,1.308039903640747,0.6637816429138184,1.2273691892623901
11,0.4999238848686218,1.2978802919387817,0.661784291267395,1.2008249759674072
