epoch,accuracy,loss,val_accuracy,val_loss
1,0.42287907004356384,1.4813232421875,0.5998668670654297,1.1696308851242065
2,0.48284679651260376,1.3260307312011719,0.6018641591072083,1.1530427932739258
3,0.5096039772033691,1.2628310918807983,0.657123863697052,1.040003776550293
4,0.5224193930625916,1.2236350774765015,0.6557922959327698,0.9894084930419922
5,0.5315819978713989,1.1969993114471436,0.6491345167160034,1.0370866060256958
6,0.547502338886261,1.1637156009674072,0.6484687328338623,1.0235285758972168
7,0.5487808585166931,1.1471258401870728,0.6604527235031128,0.9972404837608337
8,0.5569998025894165,1.131245493888855,0.6631158590316772,0.9745323061943054
9,0.563970685005188,1.1111648082733154,0.6657789349555969,0.9545432925224304
10,0.5719460844993591,1.09312903881073,0.6711052060127258,0.9697572588920593
11,0.5755075812339783,1.0852371454238892,0.666444718837738,0.9709993600845337
12,0.5783994197845459,1.0747361183166504,0.6631158590316772,0.9893842935562134
13,0.5809564590454102,1.0643662214279175,0.6691078543663025,0.9554833173751831
14,0.5916410684585571,1.0525761842727661,0.6777629852294922,0.9315394163131714
15,0.5925542712211609,1.0403529405593872,0.6657789349555969,0.9620664715766907
